City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,magistral'nyy,56.1725,107.4458,-33.13,94,70,0.56,RU,1702264827
1,adamstown,-25.066,-130.1015,21.31,56,0,2.58,PN,1702264828
2,dunedin,-45.8742,170.5036,16.4,59,35,3.52,NZ,1702264828
3,mcpherson,38.3708,-97.6642,3.38,71,11,6.3,US,1702264717
4,sassandra,4.95,-6.0833,25.63,86,2,1.73,CI,1702264828
5,san borja,-14.8167,-66.85,23.18,98,100,1.53,BO,1702264829
6,puerto natales,-51.7236,-72.4875,6.23,83,63,1.91,CL,1702264829
7,antofagasta,-23.65,-70.4,18.6,79,8,1.46,CL,1702264563
8,stanley,54.868,-1.6985,5.16,96,75,3.6,GB,1702264829
9,tshabong,-26.05,22.45,18.6,23,1,2.69,BW,1702264829
10,vilyuchinsk,52.9306,158.4028,1.15,89,100,3.98,RU,1702264830
11,kalevala,65.2,31.1667,-13.28,96,99,2.68,RU,1702264830
12,nova sintra,14.8667,-24.7167,22.78,74,99,5.02,CV,1702264830
13,port-aux-francais,-49.35,70.2167,4.32,77,78,9.38,TF,1702264830
14,port mathurin,-19.6833,63.4167,26.05,76,100,3.26,MU,1702264831
15,dock junction,31.2025,-81.5168,18.01,97,100,5.66,US,1702264831
16,grytviken,-54.2811,-36.5092,5.49,95,100,6.42,GS,1702264831
17,caleta de carquin,-11.0925,-77.6267,19.9,86,99,4.3,PE,1702264831
18,albany,42.6001,-73.9662,6.88,91,100,0.89,US,1702264593
19,olonkinbyen,70.9221,-8.7187,-2.63,66,100,5.05,SJ,1702264832
20,remire-montjoly,4.9167,-52.2667,26.02,94,75,2.06,GF,1702264832
21,alice springs,-23.7,133.8833,20.75,32,54,3.09,AU,1702264609
22,yonggwang-up,40.0183,127.4547,1.73,89,100,3.14,KP,1702264832
23,nizhneangarsk,55.7833,109.55,-24.44,80,35,2.68,RU,1702264832
24,nadi,-17.8,177.4167,29.0,42,75,8.23,FJ,1702264832
25,praia da vitoria,38.7333,-27.0667,17.09,82,20,5.55,PT,1702264833
26,ilulissat,69.2167,-51.1,-1.99,64,100,9.26,GL,1702264833
27,kirakira,-10.4544,161.9205,27.68,82,97,0.53,SB,1702264833
28,freetown,8.484,-13.2299,26.22,79,49,1.58,SL,1702264833
29,edinburgh of the seven seas,-37.0676,-12.3116,13.66,71,97,8.02,SH,1702264833
30,iskateley,67.6803,53.1512,-22.77,91,100,4.92,RU,1702264833
31,morehead city,34.7229,-76.726,19.01,85,100,4.63,US,1702264708
32,joshimath,30.5667,79.5667,9.91,23,82,1.66,IN,1702264834
33,pervomayskiy,53.2485,40.2871,-7.62,94,100,6.27,RU,1702264834
34,marka,1.7159,44.7717,26.14,84,44,5.9,SO,1702264834
35,longyearbyen,78.2186,15.6401,-1.09,64,40,4.63,SJ,1702264834
36,baie-saint-paul,47.4411,-70.4986,5.87,95,100,1.61,CA,1702264834
37,georgetown,5.4112,100.3354,30.97,66,20,4.12,MY,1702264835
38,ribeira grande,38.5167,-28.7,17.65,76,99,8.49,PT,1702264835
39,tororo,0.693,34.1809,18.52,92,99,0.97,UG,1702264835
40,yanbu,24.0891,38.0637,23.02,88,72,3.09,SA,1702264835
41,klaksvik,62.2266,-6.589,6.51,84,99,5.28,FO,1702264835
42,labytnangi,66.6572,66.4183,-28.18,99,100,3.6,RU,1702264836
43,callao,-12.0667,-77.15,21.51,77,75,4.63,PE,1702264836
44,blackmans bay,-43.0167,147.3167,20.41,59,7,0.89,AU,1702264836
45,la passe,45.5549,-0.8967,15.13,88,100,10.81,FR,1702264836
46,afaahiti,-17.75,-149.2833,29.93,81,69,11.06,PF,1702264836
47,ushuaia,-54.8,-68.3,5.81,56,0,3.09,AR,1702264836
48,udachny,66.4167,112.4,-25.71,96,100,5.12,RU,1702264837
49,weno,7.4515,151.8468,28.09,79,47,8.12,FM,1702264837
50,thanatpin,17.2119,96.3033,29.1,74,3,2.15,MM,1702264837
51,machico,32.7,-16.7667,20.95,82,75,1.54,PT,1702264837
52,baker city,44.7749,-117.8344,6.47,90,100,0.0,US,1702264607
53,san sebastian de la gomera,28.0916,-17.1133,25.2,23,0,1.54,ES,1702264837
54,bethel,41.3712,-73.414,17.05,85,100,7.72,US,1702264838
55,papatowai,-46.5619,169.4708,17.49,42,87,6.29,NZ,1702264838
56,port douglas,-16.4833,145.4667,29.02,62,71,4.91,AU,1702264838
57,menongue,-14.6585,17.691,19.57,64,100,0.9,AO,1702264838
58,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,86,75,3.0,RU,1702264838
59,tazovsky,67.4667,78.7,-24.12,97,100,4.94,RU,1702264838
60,punta arenas,-53.15,-70.9167,5.06,70,0,1.54,CL,1702264838
61,iqaluit,63.7506,-68.5145,-5.15,73,100,10.8,CA,1702264839
62,port alfred,-33.5906,26.891,16.77,94,26,0.45,ZA,1702264839
63,arkalyk,50.2486,66.9114,-24.53,86,88,5.59,KZ,1702264839
64,gua musang,4.8823,101.9644,29.49,67,61,1.39,MY,1702264839
65,vorgashor,67.5833,63.95,-25.42,100,100,4.04,RU,1702264839
66,kuraymah,18.55,31.85,19.97,25,77,3.54,SD,1702264839
67,west island,-12.1568,96.8225,28.99,65,40,6.17,CC,1702264839
68,kilju,40.9642,129.3278,-1.55,85,100,1.91,KP,1702264839
69,motygino,58.1831,94.7592,-35.68,99,14,1.79,RU,1702264840
70,chonchi,-42.6128,-73.8092,10.62,96,97,1.18,CL,1702264840
71,tromso,69.6496,18.957,-2.99,68,100,7.72,NO,1702264840
72,labrador city,52.9463,-66.9114,-0.05,93,100,6.69,CA,1702264840
73,mantua,45.1667,10.7833,3.94,88,90,0.89,IT,1702264840
74,susuman,62.7833,148.1667,-21.68,96,95,2.24,RU,1702264841
75,nefteyugansk,61.0998,72.6035,-36.25,99,10,1.99,RU,1702264841
76,koraput,18.8167,82.7167,18.18,66,1,0.58,IN,1702264841
77,thompson,55.7435,-97.8558,-14.91,85,100,1.54,CA,1702264841
78,mugia,43.1041,-9.2179,18.28,86,100,10.89,ES,1702264841
79,waitangi,-43.9535,-176.5597,14.9,59,0,2.43,NZ,1702264841
80,santaluz,-11.2558,-39.3747,21.62,76,6,4.13,BR,1702264841
81,bilibino,68.0546,166.4372,-25.81,98,42,2.07,RU,1702264842
82,kodiak,57.79,-152.4072,5.73,93,100,0.0,US,1702264842
83,hithadhoo,-0.6,73.0833,27.84,76,94,1.65,MV,1702264842
84,pisco,-13.7,-76.2167,20.03,77,0,5.66,PE,1702264842
85,kolar,13.1333,78.1333,21.42,83,97,2.92,IN,1702264842
86,krasnozerskoye,53.9828,79.2374,-29.44,95,64,3.14,RU,1702264842
87,saipan,15.1355,145.701,30.39,70,20,5.66,MP,1702264842
88,itoman,26.1247,127.6694,26.21,73,75,5.66,JP,1702264842
89,vozhega,60.4725,40.2213,-13.65,93,100,4.21,RU,1702264843
90,port elizabeth,-33.918,25.5701,14.62,92,0,1.54,ZA,1702264843
91,mogocha,53.7333,119.7667,-27.28,72,4,0.81,RU,1702264843
92,fort st. john,56.2499,-120.8529,-6.06,79,20,2.57,CA,1702264843
93,jinchang,38.4953,102.1739,1.59,44,100,3.36,CN,1702264843
94,karoi,-16.8099,29.6925,20.63,62,95,0.78,ZW,1702264843
